snoring_rate,respiration_rate,body_temperature,limb_movement,blood_oxygen,eye_movement,sleeping_hours,heart_rate,stress_level
75.52,21.552,93.552,11.552,91.552,92.76,4.328,63.88,2
65.92,20.592,92.592,10.592,90.592,87.96,2.888,61.48,2
47.2,16.88,97.32,5.76,95.88,68.8,7.88,52.2,0
56,19.2,95.2,9.2,93.8,83,6.2,58,1
71.84,21.184,93.184,11.184,91.184,90.92,3.776,62.96,2
52.8,18.56,94.56,8.56,92.84,81.4,5.56,56.4,1
81.8,22.48,90.24,12.6,88.24,95.6,0.24,66.2,3
59.12,19.824,95.824,9.824,94.736,84.56,6.824,59.56,1
88.88,24.368,91.184,14.96,89.184,97.96,1.184,70.92,3
51.44,18.288,94.288,8.288,92.432,80.72,5.288,55.72,1
48.2,17.28,97.92,6.56,96.28,72.8,8.28,53.2,0
48.48,17.392,98.088,6.784,96.392,73.92,8.392,53.48,0
67.84,20.784,92.784,10.784,90.784,88.92,3.176,61.96,2
99.296,29.296,89.12,18.648,86.944,104.12,0,83.24,4
96.32,26.32,85.4,17.16,82.48,100.4,0,75.8,4
94.64,25.904,91.952,16.88,89.952,99.88,1.952,74.76,3
80.72,22.192,90.096,12.24,88.096,95.24,0.096,65.48,3
98.72,28.72,88.4,18.36,86.08,103.4,0,81.8,4
52.24,18.448,94.448,8.448,92.672,81.12,5.448,56.12,1
47.72,17.088,97.632,6.176,96.088,70.88,8.088,52.72,0
84.8,23.28,90.64,13.6,88.64,96.6,0.64,68.2,3
48.08,17.232,97.848,6.464,96.232,72.32,8.232,53.08,0
96.608,26.608,85.76,17.304,82.912,100.76,0,76.52,4
50,18,99,8,97,80,9,55,0
99.584,29.584,89.48,18.792,87.376,104.48,0,83.96,4
98.016,28.016,87.52,18.008,85.024,102.52,0,80.04,4
99.936,29.936,89.92,18.968,87.904,104.92,0,84.84,4
75.36,21.536,93.536,11.536,91.536,92.68,4.304,63.84,2
54.16,18.832,94.832,8.832,93.248,82.08,5.832,57.08,1
99.072,29.072,88.84,18.536,86.608,103.84,0,82.68,4
45.28,16.112,96.168,4.224,95.112,61.12,7.112,50.28,0
99.136,29.136,88.92,18.568,86.704,103.92,0,82.84,4
52.96,18.592,94.592,8.592,92.888,81.48,5.592,56.48,1
49.36,17.744,98.616,7.488,96.744,77.44,8.744,54.36,0
97.504,27.504,86.88,17.752,84.256,101.88,0,78.76,4
50.16,18.032,94.032,8.032,92.048,80.08,5.032,55.08,1
46.76,16.704,97.056,5.408,95.704,67.04,7.704,51.76,0
66.88,20.688,92.688,10.688,90.688,88.44,3.032,61.72,2
93.56,25.616,91.808,16.52,89.808,99.52,1.808,74.04,3
83.6,22.96,90.48,13.2,88.48,96.2,0.48,67.4,3
96.576,26.576,85.72,17.288,82.864,100.72,0,76.44,4
51.28,18.256,94.256,8.256,92.384,80.64,5.256,55.64,1
50.4,18.08,94.08,8.08,92.12,80.2,5.08,55.2,1
49.12,17.648,98.472,7.296,96.648,76.48,8.648,54.12,0
97.152,27.152,86.44,17.576,83.728,101.44,0,77.88,4
75.84,21.584,93.584,11.584,91.584,92.92,4.376,63.96,2
46.16,16.464,96.696,4.928,95.464,64.64,7.464,51.16,0
98.624,28.624,88.28,18.312,85.936,103.28,0,81.56,4
49.28,17.712,98.568,7.424,96.712,77.12,8.712,54.28,0
81.44,22.384,90.192,12.48,88.192,95.48,0.192,65.96,3
78.88,21.888,93.888,11.888,91.888,94.44,4.832,64.72,2
48.92,17.568,98.352,7.136,96.568,75.68,8.568,53.92,0
97.44,27.44,86.8,17.72,84.16,101.8,0,78.6,4
61.28,20.128,92.128,10.128,90.128,85.64,2.192,60.32,2
96.448,26.448,85.56,17.224,82.672,100.56,0,76.12,4
92.24,25.264,91.632,16.08,89.632,99.08,1.632,73.16,3
97.376,27.376,86.72,17.688,84.064,101.72,0,78.44,4
66.56,20.656,92.656,10.656,90.656,88.28,2.984,61.64,2
88.28,24.208,91.104,14.76,89.104,97.76,1.104,70.52,3
60.48,20.048,92.048,10.048,90.048,85.24,2.072,60.12,2
49.04,17.616,98.424,7.232,96.616,76.16,8.616,54.04,0
72.48,21.248,93.248,11.248,91.248,91.24,3.872,63.12,2
87.2,23.92,90.96,14.4,88.96,97.4,0.96,69.8,3
56.32,19.264,95.264,9.264,93.896,83.16,6.264,58.16,1
97.12,27.12,86.4,17.56,83.68,101.4,0,77.8,4
86.36,23.696,90.848,14.12,88.848,97.12,0.848,69.24,3
46.84,16.736,97.104,5.472,95.736,67.36,7.736,51.84,0
56.56,19.312,95.312,9.312,93.968,83.28,6.312,58.28,1
99.808,29.808,89.76,18.904,87.712,104.76,0,84.52,4
54.72,18.944,94.944,8.944,93.416,82.36,5.944,57.36,1
97.952,27.952,87.44,17.976,84.928,102.44,0,79.88,4
98.688,28.688,88.36,18.344,86.032,103.36,0,81.72,4
76.32,21.632,93.632,11.632,91.632,93.16,4.448,64.08,2
52.32,18.464,94.464,8.464,92.696,81.16,5.464,56.16,1
80.12,22.032,90.016,12.04,88.016,95.04,0.016,65.08,3
61.44,20.144,92.144,10.144,90.144,85.72,2.216,60.36,2
51.92,18.384,94.384,8.384,92.576,80.96,5.384,55.96,1
89.36,24.496,91.248,15.12,89.248,98.12,1.248,71.24,3
58.8,19.76,95.76,9.76,94.64,84.4,6.76,59.4,1
99.2,29.2,89,18.6,86.8,104,0,83,4
52.88,18.576,94.576,8.576,92.864,81.44,5.576,56.44,1
98.56,28.56,88.2,18.28,85.84,103.2,0,81.4,4
80.6,22.16,90.08,12.2,88.08,95.2,0.08,65.4,3
46.48,16.592,96.888,5.184,95.592,65.92,7.592,51.48,0
92.48,25.328,91.664,16.16,89.664,99.16,1.664,73.32,3
87.32,23.952,90.976,14.44,88.976,97.44,0.976,69.88,3
49.96,17.984,98.976,7.968,96.984,79.84,8.984,54.96,0
48.4,17.36,98.04,6.72,96.36,73.6,8.36,53.4,0
50.96,18.192,94.192,8.192,92.288,80.48,5.192,55.48,1
55.12,19.024,95.024,9.024,93.536,82.56,6.024,57.56,1
97.728,27.728,87.16,17.864,84.592,102.16,0,79.32,4
99.84,29.84,89.8,18.92,87.76,104.8,0,84.6,4
56.88,19.376,95.376,9.376,94.064,83.44,6.376,58.44,1
84.92,23.312,90.656,13.64,88.656,96.64,0.656,68.28,3
98.496,28.496,88.12,18.248,85.744,103.12,0,81.24,4
77.44,21.744,93.744,11.744,91.744,93.72,4.616,64.36,2
62.08,20.208,92.208,10.208,90.208,86.04,2.312,60.52,2
59.52,19.904,95.904,9.904,94.856,84.76,6.904,59.76,1
98.592,28.592,88.24,18.296,85.888,103.24,0,81.48,4
45.44,16.176,96.264,4.352,95.176,61.76,7.176,50.44,0
97.248,27.248,86.56,17.624,83.872,101.56,0,78.12,4
49.44,17.776,98.664,7.552,96.776,77.76,8.776,54.44,0
85.52,23.472,90.736,13.84,88.736,96.84,0.736,68.68,3
53.92,18.784,94.784,8.784,93.176,81.96,5.784,56.96,1
59.76,19.952,95.952,9.952,94.928,84.88,6.952,59.88,1
97.76,27.76,87.2,17.88,84.64,102.2,0,79.4,4
45.96,16.384,96.576,4.768,95.384,63.84,7.384,50.96,0
76,21.6,93.6,11.6,91.6,93,4.4,64,2
97.056,27.056,86.32,17.528,83.584,101.32,0,77.64,4
53.44,18.688,94.688,8.688,93.032,81.72,5.688,56.72,1
74.88,21.488,93.488,11.488,91.488,92.44,4.232,63.72,2
86.12,23.632,90.816,14.04,88.816,97.04,0.816,69.08,3
45.52,16.208,96.312,4.416,95.208,62.08,7.208,50.52,0
52.64,18.528,94.528,8.528,92.792,81.32,5.528,56.32,1
45.8,16.32,96.48,4.64,95.32,63.2,7.32,50.8,0
45.6,16.24,96.36,4.48,95.24,62.4,7.24,50.6,0
99.648,29.648,89.56,18.824,87.472,104.56,0,84.12,4
78.72,21.872,93.872,11.872,91.872,94.36,4.808,64.68,2
99.168,29.168,88.96,18.584,86.752,103.96,0,82.92,4
59.84,19.968,95.968,9.968,94.952,84.92,6.968,59.92,1
72.8,21.28,93.28,11.28,91.28,91.4,3.92,63.2,2
99.68,29.68,89.6,18.84,87.52,104.6,0,84.2,4
82.76,22.736,90.368,12.92,88.368,95.92,0.368,66.84,3
46.36,16.544,96.816,5.088,95.544,65.44,7.544,51.36,0
78.24,21.824,93.824,11.824,91.824,94.12,4.736,64.56,2
47.08,16.832,97.248,5.664,95.832,68.32,7.832,52.08,0
62.24,20.224,92.224,10.224,90.224,86.12,2.336,60.56,2
92.96,25.456,91.728,16.32,89.728,99.32,1.728,73.64,3
56.4,19.28,95.28,9.28,93.92,83.2,6.28,58.2,1
98.144,28.144,87.68,18.072,85.216,102.68,0,80.36,4
47.36,16.944,97.416,5.888,95.944,69.44,7.944,52.36,0
74.72,21.472,93.472,11.472,91.472,92.36,4.208,63.68,2
56.72,19.344,95.344,9.344,94.016,83.36,6.344,58.36,1
47.24,16.896,97.344,5.792,95.896,68.96,7.896,52.24,0
96.192,26.192,85.24,17.096,82.288,100.24,0,75.48,4
48.8,17.52,98.28,7.04,96.52,75.2,8.52,53.8,0
